840	259	55	96	
251	90	94	78	
848	262	52	92	
419	128	49	61	
251	91	94	77	
854	265	57	93	
418	129	52	66	
251	89	94	79	
858	268	58	92	
417	128	53	67	
251	91	94	77	
856	270	60	113	
418	128	50	61	
251	89	94	51	
875	275	52	90	
251	88	94	52	
875	271	59	112	
879	272	61	95	
884	273	56	94	
890	274	56	94	
895	280	57	90	
902	281	58	94	
909	280	51	100	
916	281	44	100	
923	294	37	85	
408	119	45	59	
260	102	59	59	
260	104	67	58	
259	120	74	43	
261	102	71	61	
260	102	72	62	
256	102	76	63	
256	105	76	61	
263	103	70	75	
264	127	69	52	
264	126	70	54	
262	103	71	78	
264	128	69	54	
264	106	69	75	
264	127	69	57	
263	128	70	56	
265	129	68	56	
264	110	69	77	
258	110	76	79	
258	110	75	81	
259	110	74	82	
259	111	74	81	
259	111	74	85	
259	134	74	64	
254	134	78	66	
253	117	79	84	
252	116	79	87	
251	118	79	86	
250	119	79	86	
247	120	80	87	
247	120	81	86	
244	124	83	85	
242	123	84	86	
236	124	89	89	
237	125	88	86	
233	125	91	89	
229	127	94	87	
228	127	95	89	
220	127	102	90	
215	126	105	93	
210	127	109	94	
204	128	114	94	
198	128	118	96	
192	132	124	93	
186	132	129	91	
179	131	134	96	
172	133	138	96	
164	135	144	95	
160	135	146	96	
149	138	152	102	
146	139	154	105	
138	138	159	106	
132	139	162	106	
124	142	167	104	
117	141	170	105	
112	143	171	103	
104	144	175	102	
97	145	177	101	
91	146	178	106	
82	145	183	107	
75	145	186	107	
68	147	188	105	
63	147	188	105	
56	148	190	104	
49	148	191	104	
43	148	192	104	
36	148	193	104	
32	148	193	104	
26	148	194	104	
20	151	196	100	
16	152	195	99	
11	152	195	100	
8	154	194	98	
4	155	194	97	
0	153	194	99	
0	153	190	93	
0	155	186	91	
0	155	183	91	
0	155	179	90	
0	155	173	90	
0	155	173	90	
0	155	171	88	
0	155	169	86	
0	155	167	86	
0	155	166	83	
0	155	165	83	
0	156	164	82	
0	156	163	82	
0	156	163	82	
0	156	162	82	
0	156	162	82	
0	156	162	82	
0	156	162	82	
0	156	163	82	
0	158	163	82	
0	158	163	78	
0	158	163	78	
0	158	163	78	
0	158	163	78	
0	157	163	79	
0	157	163	84	
0	157	163	84	
0	157	163	84	
0	157	163	83	
0	157	163	82	
0	157	163	82	
0	157	163	82	
0	157	163	82	
0	157	162	82	
0	157	162	81	
0	157	162	81	
0	157	162	79	
0	157	162	79	
0	157	162	79	
0	157	162	79	
0	157	162	80	
0	157	162	80	
0	157	162	79	
0	157	161	80	
0	158	152	70	
0	158	152	70	
0	157	157	71	
0	156	157	72	
0	156	155	70	
0	157	159	70	
0	157	160	71	
0	156	161	72	
0	156	162	72	
0	156	164	72	
0	156	165	72	
0	156	167	72	
0	156	169	72	
0	154	171	62	
0	163	91	52	
90	154	83	48	
0	162	91	48	
93	154	82	48	
94	155	86	75	
0	161	92	58	
0	155	180	72	
0	155	183	75	
0	154	192	76	
5	153	184	77	
7	152	185	78	
10	152	186	78	
14	152	190	78	
103	152	104	78	
17	161	91	60	
25	152	189	75	
28	152	190	76	
29	152	189	76	
92	152	129	76	
33	171	71	49	
35	152	189	78	
97	152	131	78	
39	172	65	48	
103	152	132	77	
103	152	132	77	
106	151	133	77	
109	152	133	77	
113	149	132	78	
117	150	131	81	
119	148	133	81	
76	148	182	84	
126	148	136	84	
126	148	136	84	
85	148	180	85	
91	148	178	84	
94	149	178	83	
99	149	177	85	
103	149	177	85	
109	149	175	85	
115	149	173	84	
118	149	174	87	
138	148	157	88	
130	148	169	89	
139	149	168	90	
139	149	168	90	
144	149	167	91	
155	150	160	90	
156	150	164	90	
159	150	164	91	
162	152	165	92	
169	151	162	89	
174	152	161	89	
180	152	158	95	
184	153	157	95	
188	152	156	96	
194	152	153	96	
199	150	151	99	
204	152	148	98	
208	153	147	98	
212	154	144	98	
214	154	146	99	
219	153	143	101	
225	155	141	100	
225	155	141	100	
230	156	137	100	
232	156	137	102	
234	156	140	99	
237	156	143	99	
240	157	139	99	
247	158	127	99	
250	158	125	99	
252	160	124	97	
254	159	124	99	
256	160	126	99	
257	159	127	101	
253	161	131	100	
261	161	122	100	
261	160	123	101	
257	160	127	101	
257	163	127	99	
264	204	120	58	
269	163	109	51	
265	162	119	101	
265	163	119	100	
264	163	120	100	
267	164	117	100	
267	162	117	101	
267	166	117	97	
268	166	118	92	
268	164	117	96	
268	164	116	100	
268	164	116	100	
268	165	117	99	
291	215	93	49	
267	162	115	60	
290	215	94	49	
267	162	115	60	
266	163	118	100	
