135	104	50	52	
132	44	70	24	
135	105	49	49	
191	91	23	57	
134	44	68	28	
135	106	49	47	
191	68	23	80	
132	42	70	40	
135	106	49	46	
191	94	22	54	
136	42	65	38	
135	105	50	45	
191	68	22	78	
134	43	67	37	
136	118	48	31	
191	68	21	76	
133	42	49	38	
138	118	47	31	
191	68	21	76	
136	42	46	38	
136	116	48	31	
191	68	21	74	
136	41	65	23	
136	99	48	47	
191	62	21	79	
133	41	68	18	
137	98	47	47	
190	67	22	73	
133	40	67	19	
136	97	48	45	
190	68	22	70	
135	39	63	17	
138	112	46	30	
191	68	20	68	
136	38	62	21	
137	95	47	46	
190	68	20	66	
138	38	60	19	
137	94	46	47	
190	67	20	67	
138	38	60	19	
137	108	46	30	
190	67	20	65	
140	38	58	19	
137	106	47	31	
190	67	19	63	
137	92	46	44	
190	68	18	61	
138	34	60	23	
137	90	47	44	
190	68	18	63	
138	34	60	19	
136	90	48	43	
190	66	18	64	
138	34	59	18	
138	88	45	44	
190	67	18	59	
137	88	31	43	
138	86	40	42	
137	83	36	45	
137	82	31	44	
137	69	35	55	
138	69	45	55	
139	31	59	21	
138	69	24	54	
140	29	59	24	
138	69	45	51	
140	28	59	26	
138	56	45	64	
140	28	60	26	
138	50	46	68	
138	50	30	67	
138	50	45	66	
141	26	59	32	
138	50	30	66	
143	26	65	39	
139	45	44	69	
139	45	45	68	
139	45	44	68	
139	45	44	67	
139	39	44	72	
139	39	45	67	
139	43	44	65	
140	43	43	64	
140	51	43	53	
141	45	43	61	
1804	555	36	37	
1859	512	51	52	
140	36	43	71	
1712	540	122	70	
1860	528	48	30	
140	36	43	69	
1711	541	124	69	
1870	526	40	32	
140	36	43	66	
1560	1066	168	14	
1672	520	149	89	
1867	518	41	26	
140	35	43	67	
1486	1040	295	40	
1663	517	175	91	
141	35	42	67	
1456	1018	352	62	
1668	528	129	70	
143	35	31	67	
1434	998	368	82	
1679	530	99	56	
141	34	40	67	
1416	978	378	102	
1670	526	50	34	
1504	503	44	24	
141	34	36	66	
1404	960	372	120	
1362	1045	61	35	
1762	1061	64	19	
144	33	30	64	
1388	940	422	140	
1352	1023	46	43	
145	20	36	76	
1374	904	418	176	
145	20	38	76	
1358	904	417	176	
145	30	27	64	
1321	888	437	192	
145	30	35	64	
1311	870	434	210	
145	30	38	63	
1299	856	441	224	
145	30	36	62	
1288	840	450	240	
146	30	37	61	
1274	812	460	268	
145	30	29	60	
1259	808	473	272	
1224	800	506	280	
169	1028	31	44	
1013	402	99	15	
1213	786	511	294	
168	1022	34	50	
1011	400	101	16	
1081	372	49	35	
1213	770	511	310	
168	1021	34	51	
1011	400	101	16	
1081	372	48	35	
1196	757	518	323	
168	992	46	80	
1011	372	118	43	
1176	744	520	336	
168	977	46	95	
1013	376	116	39	
148	25	28	61	
1164	732	518	348	
167	977	47	95	
1013	384	115	31	
148	27	34	59	
1149	720	521	360	
169	978	51	94	
1013	389	99	24	
148	27	21	59	
1132	708	517	372	
197	977	23	56	
148	25	28	61	
1114	696	510	384	
149	25	27	61	
1099	686	512	394	
150	27	24	56	
1083	672	513	408	
150	28	26	55	
1068	660	500	400	
150	41	31	42	
1054	648	494	396	
1039	638	489	376	
151	32	30	50	
1024	622	484	374	
152	32	28	49	
1010	608	478	372	
152	32	29	48	
995	589	475	376	
980	581	470	358	
966	556	464	348	
952	556	454	348	
936	537	448	351	
923	530	443	338	
900	508	444	314	
896	508	426	310	
883	499	423	311	
857	493	409	286	
844	486	422	293	
833	480	415	292	
827	464	399	292	
809	450	401	287	
